Timestamp,Human readable date,a020a61c376d_borda,context_a020a61c376d_borda,a020a61c376d_externa,context_a020a61c376d_externa,a020a61c376d_fundo,context_a020a61c376d_fundo
1640521129944,2021-12-26 09:18:49,27.5,{},24.0,{},27.75,{}
1640520946490,2021-12-26 09:15:46,27.5,{},24.0,{},27.75,{}
1640520762482,2021-12-26 09:12:42,27.5,{},23.75,{},27.75,{}
1640520557411,2021-12-26 09:09:17,27.5,{},24.0,{},27.75,{}
1640520372980,2021-12-26 09:06:12,27.5,{},23.75,{},27.75,{}
1640520167766,2021-12-26 09:02:47,27.5,{},23.75,{},27.75,{}
1640519971129,2021-12-26 08:59:31,27.5,{},23.75,{},27.75,{}
1640519787376,2021-12-26 08:56:27,27.5,{},23.5,{},27.75,{}
1640519603775,2021-12-26 08:53:23,27.5,{},23.25,{},27.75,{}
1640519393608,2021-12-26 08:49:53,27.5,{},23.25,{},27.75,{}
1640519210121,2021-12-26 08:46:50,27.5,{},23.0,{},27.75,{}
1640519026461,2021-12-26 08:43:46,27.5,{},22.75,{},27.75,{}
1640518842875,2021-12-26 08:40:42,27.5,{},22.75,{},27.75,{}
1640518656735,2021-12-26 08:37:36,27.5,{},22.75,{},27.75,{}
1640518473120,2021-12-26 08:34:33,27.5,{},22.5,{},27.75,{}
1640518289604,2021-12-26 08:31:29,27.5,{},22.5,{},27.75,{}
1640518106130,2021-12-26 08:28:26,27.5,{},22.5,{},27.75,{}
1640517922727,2021-12-26 08:25:22,27.5,{},22.75,{},27.75,{}
1640517738865,2021-12-26 08:22:18,27.5,{},22.75,{},27.75,{}
1640517555217,2021-12-26 08:19:15,27.5,{},22.75,{},27.75,{}
1640517368547,2021-12-26 08:16:08,27.5,{},22.75,{},27.75,{}
1640517185006,2021-12-26 08:13:05,27.5,{},22.5,{},27.75,{}
1640517001360,2021-12-26 08:10:01,27.5,{},22.5,{},27.75,{}
1640516817596,2021-12-26 08:06:57,27.5,{},22.25,{},27.75,{}
1640516634101,2021-12-26 08:03:54,27.5,{},22.25,{},27.75,{}
1640516450505,2021-12-26 08:00:50,27.5,{},22.25,{},27.75,{}
1640516267057,2021-12-26 07:57:47,27.5,{},22.25,{},27.75,{}
1640516081139,2021-12-26 07:54:41,27.5,{},22.25,{},27.75,{}
1640515897434,2021-12-26 07:51:37,27.25,{},22.25,{},27.75,{}
1640515713895,2021-12-26 07:48:33,27.5,{},22.25,{},27.75,{}
1640515530380,2021-12-26 07:45:30,27.5,{},22.25,{},27.75,{}
1640515346810,2021-12-26 07:42:26,27.5,{},22.0,{},27.75,{}
1640515163430,2021-12-26 07:39:23,27.25,{},22.0,{},27.75,{}
1640514979672,2021-12-26 07:36:19,27.5,{},21.75,{},27.75,{}
1640514796145,2021-12-26 07:33:16,27.5,{},21.75,{},27.75,{}
1640514610278,2021-12-26 07:30:10,27.5,{},21.75,{},27.75,{}
1640514425367,2021-12-26 07:27:05,27.5,{},21.5,{},27.75,{}
1640514241848,2021-12-26 07:24:01,27.5,{},21.25,{},27.75,{}
1640514058316,2021-12-26 07:20:58,27.25,{},21.25,{},27.75,{}
1640513874629,2021-12-26 07:17:54,27.5,{},21.0,{},27.75,{}
1640513691175,2021-12-26 07:14:51,27.5,{},21.0,{},27.75,{}
1640513507527,2021-12-26 07:11:47,27.5,{},21.0,{},27.75,{}
1640513323835,2021-12-26 07:08:43,27.25,{},20.75,{},27.75,{}
1640513137168,2021-12-26 07:05:37,27.5,{},20.75,{},27.75,{}
1640512953522,2021-12-26 07:02:33,27.5,{},20.75,{},27.75,{}
1640512769893,2021-12-26 06:59:29,27.5,{},20.75,{},27.75,{}
1640512586206,2021-12-26 06:56:26,27.5,{},20.75,{},27.75,{}
1640512402415,2021-12-26 06:53:22,27.25,{},20.5,{},27.75,{}
1640512217834,2021-12-26 06:50:17,27.25,{},20.5,{},27.75,{}
1640512034116,2021-12-26 06:47:14,27.5,{},20.25,{},27.75,{}
1640511850608,2021-12-26 06:44:10,27.5,{},20.25,{},27.75,{}
1640511664823,2021-12-26 06:41:04,27.25,{},20.25,{},27.75,{}
1640511481454,2021-12-26 06:38:01,27.5,{},20.25,{},27.75,{}
1640511297848,2021-12-26 06:34:57,27.25,{},20.25,{},27.75,{}
1640511114163,2021-12-26 06:31:54,27.5,{},20.25,{},27.75,{}
1640510930773,2021-12-26 06:28:50,27.5,{},20.0,{},27.75,{}
1640510747309,2021-12-26 06:25:47,27.5,{},20.0,{},27.75,{}
1640510563888,2021-12-26 06:22:43,27.5,{},20.0,{},27.75,{}
1640510378204,2021-12-26 06:19:38,27.5,{},20.0,{},27.75,{}
1640510194678,2021-12-26 06:16:34,27.5,{},19.75,{},27.75,{}
1640510011132,2021-12-26 06:13:31,27.5,{},19.75,{},27.75,{}
1640509826560,2021-12-26 06:10:26,27.5,{},19.75,{},27.75,{}
1640509643111,2021-12-26 06:07:23,27.5,{},19.5,{},27.75,{}
1640509459527,2021-12-26 06:04:19,27.5,{},19.75,{},27.75,{}
1640509275861,2021-12-26 06:01:15,27.5,{},20.0,{},27.75,{}
1640509090042,2021-12-26 05:58:10,27.5,{},20.0,{},27.75,{}
1640508906367,2021-12-26 05:55:06,27.5,{},19.75,{},27.75,{}
1640508722953,2021-12-26 05:52:02,27.5,{},19.75,{},27.75,{}
1640508539458,2021-12-26 05:48:59,27.5,{},19.75,{},27.75,{}
1640508355810,2021-12-26 05:45:55,27.5,{},19.5,{},27.75,{}
1640508171580,2021-12-26 05:42:51,27.5,{},19.5,{},27.75,{}
1640507988006,2021-12-26 05:39:48,27.25,{},19.5,{},27.75,{}
1640507804341,2021-12-26 05:36:44,27.25,{},19.75,{},27.75,{}
1640507618229,2021-12-26 05:33:38,27.25,{},19.75,{},27.75,{}
1640507434767,2021-12-26 05:30:34,27.25,{},19.5,{},27.75,{}
1640507251209,2021-12-26 05:27:31,27.25,{},19.5,{},27.75,{}
1640507067478,2021-12-26 05:24:27,27.25,{},19.5,{},27.75,{}
1640506883720,2021-12-26 05:21:23,27.25,{},19.5,{},27.75,{}
1640506700243,2021-12-26 05:18:20,27.5,{},19.5,{},27.75,{}
1640506516602,2021-12-26 05:15:16,27.5,{},19.5,{},27.75,{}
1640506330742,2021-12-26 05:12:10,27.5,{},19.5,{},27.75,{}
