Timestamp,Human readable date,a020a61c376d_borda,context_a020a61c376d_borda,a020a61c376d_externa,context_a020a61c376d_externa,a020a61c376d_fundo,context_a020a61c376d_fundo
1640506147037,2021-12-26 05:09:07,27.5,{},19.5,{},27.75,{}
1640505963426,2021-12-26 05:06:03,27.5,{},19.25,{},27.75,{}
1640505780045,2021-12-26 05:03:00,27.5,{},19.25,{},27.75,{}
1640505596453,2021-12-26 04:59:56,27.5,{},19.5,{},27.75,{}
1640505412933,2021-12-26 04:56:52,27.5,{},19.5,{},27.75,{}
1640505229460,2021-12-26 04:53:49,27.5,{},19.5,{},27.75,{}
1640505043362,2021-12-26 04:50:43,27.5,{},19.5,{},27.75,{}
1640504859867,2021-12-26 04:47:39,27.5,{},19.5,{},27.75,{}
1640504676133,2021-12-26 04:44:36,27.5,{},19.5,{},27.75,{}
1640504492439,2021-12-26 04:41:32,27.5,{},19.5,{},27.75,{}
1640504308843,2021-12-26 04:38:28,27.5,{},19.75,{},27.75,{}
1640504125192,2021-12-26 04:35:25,27.5,{},19.5,{},27.75,{}
1640503941582,2021-12-26 04:32:21,27.5,{},19.5,{},27.75,{}
1640503755582,2021-12-26 04:29:15,27.5,{},19.5,{},27.75,{}
1640503571985,2021-12-26 04:26:11,27.5,{},19.5,{},27.75,{}
1640503388328,2021-12-26 04:23:08,27.5,{},19.25,{},27.75,{}
1640503204762,2021-12-26 04:20:04,27.5,{},19.25,{},27.75,{}
1640503019823,2021-12-26 04:16:59,27.5,{},19.25,{},27.75,{}
1640502836167,2021-12-26 04:13:56,27.5,{},19.25,{},27.75,{}
1640502652415,2021-12-26 04:10:52,27.5,{},19.25,{},27.75,{}
1640502466291,2021-12-26 04:07:46,27.5,{},19.25,{},27.75,{}
1640502282763,2021-12-26 04:04:42,27.5,{},19.25,{},27.75,{}
1640502099135,2021-12-26 04:01:39,27.5,{},19.5,{},27.75,{}
1640501915571,2021-12-26 03:58:35,27.5,{},19.5,{},27.75,{}
1640501731968,2021-12-26 03:55:31,27.5,{},19.25,{},27.75,{}
1640501548356,2021-12-26 03:52:28,27.5,{},19.25,{},27.75,{}
1640501364833,2021-12-26 03:49:24,27.5,{},19.25,{},28.0,{}
1640501178140,2021-12-26 03:46:18,27.5,{},19.0,{},27.75,{}
1640500994556,2021-12-26 03:43:14,27.5,{},19.0,{},28.0,{}
1640500810967,2021-12-26 03:40:10,27.5,{},19.0,{},28.0,{}
1640500627632,2021-12-26 03:37:07,27.5,{},19.0,{},28.0,{}
1640500443939,2021-12-26 03:34:03,27.5,{},19.25,{},28.0,{}
1640500260534,2021-12-26 03:31:00,27.5,{},19.25,{},28.0,{}
1640500077077,2021-12-26 03:27:57,27.5,{},19.25,{},27.75,{}
1640499891129,2021-12-26 03:24:51,27.5,{},19.0,{},28.0,{}
1640499707486,2021-12-26 03:21:47,27.5,{},19.25,{},27.75,{}
1640499523526,2021-12-26 03:18:43,27.5,{},19.25,{},28.0,{}
1640499339798,2021-12-26 03:15:39,27.5,{},19.0,{},28.0,{}
1640499156327,2021-12-26 03:12:36,27.5,{},19.0,{},28.0,{}
1640498972935,2021-12-26 03:09:32,27.5,{},19.25,{},28.0,{}
1640498789360,2021-12-26 03:06:29,27.5,{},19.0,{},28.0,{}
1640498602605,2021-12-26 03:03:22,27.5,{},19.0,{},28.0,{}
1640498419000,2021-12-26 03:00:19,27.5,{},19.0,{},28.0,{}
1640498235388,2021-12-26 02:57:15,27.5,{},18.75,{},28.0,{}
1640498051891,2021-12-26 02:54:11,27.5,{},18.5,{},28.0,{}
1640497868224,2021-12-26 02:51:08,27.5,{},18.5,{},28.0,{}
1640497684592,2021-12-26 02:48:04,27.5,{},18.5,{},28.0,{}
1640497501025,2021-12-26 02:45:01,27.5,{},18.5,{},28.0,{}
1640497317400,2021-12-26 02:41:57,27.5,{},18.75,{},28.0,{}
1640497131427,2021-12-26 02:38:51,27.5,{},19.0,{},28.0,{}
1640496947837,2021-12-26 02:35:47,27.5,{},19.0,{},28.0,{}
1640496764137,2021-12-26 02:32:44,27.5,{},19.0,{},28.0,{}
1640496580463,2021-12-26 02:29:40,27.5,{},19.0,{},28.0,{}
1640496396865,2021-12-26 02:26:36,27.5,{},19.0,{},28.0,{}
1640496213378,2021-12-26 02:23:33,27.5,{},19.0,{},28.0,{}
1640496029905,2021-12-26 02:20:29,27.5,{},19.0,{},28.0,{}
1640495844182,2021-12-26 02:17:24,27.5,{},19.0,{},28.0,{}
1640495660390,2021-12-26 02:14:20,27.5,{},19.0,{},28.0,{}
1640495476708,2021-12-26 02:11:16,27.5,{},19.0,{},28.0,{}
1640495293376,2021-12-26 02:08:13,27.5,{},19.0,{},28.0,{}
1640495109844,2021-12-26 02:05:09,27.5,{},19.0,{},28.0,{}
1640494926300,2021-12-26 02:02:06,27.75,{},18.75,{},28.0,{}
1640494742597,2021-12-26 01:59:02,27.5,{},18.5,{},28.0,{}
1640494556699,2021-12-26 01:55:56,27.75,{},18.5,{},28.0,{}
1640494372969,2021-12-26 01:52:52,27.5,{},18.5,{},28.0,{}
1640494189509,2021-12-26 01:49:49,27.5,{},18.25,{},28.0,{}
1640494005873,2021-12-26 01:46:45,27.5,{},18.5,{},28.0,{}
1640493822506,2021-12-26 01:43:42,27.75,{},18.5,{},28.0,{}
1640493639052,2021-12-26 01:40:39,27.75,{},18.5,{},28.0,{}
1640493455422,2021-12-26 01:37:35,27.75,{},18.5,{},28.0,{}
1640493271951,2021-12-26 01:34:31,27.75,{},18.75,{},28.0,{}
1640493085227,2021-12-26 01:31:25,27.75,{},18.5,{},28.0,{}
1640492901692,2021-12-26 01:28:21,27.75,{},18.75,{},28.0,{}
1640492717925,2021-12-26 01:25:17,27.75,{},19.0,{},28.0,{}
1640492534169,2021-12-26 01:22:14,27.75,{},19.0,{},28.0,{}
1640492350602,2021-12-26 01:19:10,27.5,{},19.0,{},28.0,{}
1640492166780,2021-12-26 01:16:06,27.75,{},19.0,{},28.0,{}
1640491982820,2021-12-26 01:13:02,27.75,{},19.0,{},28.0,{}
1640491796380,2021-12-26 01:09:56,27.75,{},19.0,{},28.0,{}
1640491612541,2021-12-26 01:06:52,27.75,{},19.25,{},28.0,{}
1640491428648,2021-12-26 01:03:48,27.75,{},19.25,{},28.0,{}
1640491245057,2021-12-26 01:00:45,27.75,{},19.25,{},28.0,{}
1640491061653,2021-12-26 00:57:41,27.75,{},19.0,{},28.0,{}
1640490878102,2021-12-26 00:54:38,27.75,{},19.0,{},28.0,{}
1640490694187,2021-12-26 00:51:34,27.75,{},19.0,{},28.0,{}
1640490510326,2021-12-26 00:48:30,27.75,{},18.75,{},28.0,{}
1640490324706,2021-12-26 00:45:24,27.75,{},18.75,{},28.0,{}
1640490141200,2021-12-26 00:42:21,27.75,{},18.75,{},28.0,{}
1640489957572,2021-12-26 00:39:17,27.75,{},18.75,{},28.0,{}
1640489773844,2021-12-26 00:36:13,27.75,{},18.75,{},28.25,{}
1640489588050,2021-12-26 00:33:08,27.75,{},18.75,{},28.25,{}
1640489403179,2021-12-26 00:30:03,27.75,{},19.0,{},28.0,{}
1640489216773,2021-12-26 00:26:56,27.75,{},19.0,{},28.25,{}
1640489032783,2021-12-26 00:23:52,27.75,{},19.0,{},28.25,{}
1640488848749,2021-12-26 00:20:48,27.75,{},19.0,{},28.25,{}
1640488665042,2021-12-26 00:17:45,27.75,{},19.0,{},28.25,{}
1640488481258,2021-12-26 00:14:41,27.75,{},19.0,{},28.25,{}
1640488297568,2021-12-26 00:11:37,27.75,{},18.75,{},28.25,{}
1640488113843,2021-12-26 00:08:33,27.75,{},19.0,{},28.25,{}
1640487926693,2021-12-26 00:05:26,27.75,{},19.0,{},28.25,{}
1640487742844,2021-12-26 00:02:22,27.75,{},19.0,{},28.25,{}
1640487559258,2021-12-25 23:59:19,27.75,{},19.0,{},28.25,{}
1640487375579,2021-12-25 23:56:15,27.75,{},19.0,{},28.25,{}
1640487191826,2021-12-25 23:53:11,27.75,{},19.0,{},28.25,{}
1640487008149,2021-12-25 23:50:08,27.75,{},19.25,{},28.25,{}
1640486824465,2021-12-25 23:47:04,27.75,{},19.25,{},28.25,{}
1640486640628,2021-12-25 23:44:00,27.75,{},19.0,{},28.25,{}
1640486454175,2021-12-25 23:40:54,27.75,{},19.0,{},28.25,{}
1640486270253,2021-12-25 23:37:50,27.75,{},19.0,{},28.25,{}
1640486086177,2021-12-25 23:34:46,27.75,{},19.25,{},28.25,{}
1640485901741,2021-12-25 23:31:41,27.75,{},19.0,{},28.25,{}
1640485711291,2021-12-25 23:28:31,27.75,{},19.25,{},28.25,{}
1640485527382,2021-12-25 23:25:27,27.75,{},19.25,{},28.25,{}
1640485343779,2021-12-25 23:22:23,27.75,{},19.25,{},28.25,{}
1640485158964,2021-12-25 23:19:18,27.75,{},19.5,{},28.25,{}
1640484972724,2021-12-25 23:16:12,27.75,{},19.5,{},28.25,{}
1640484789090,2021-12-25 23:13:09,28.0,{},19.25,{},28.25,{}
1640484605447,2021-12-25 23:10:05,27.75,{},19.25,{},28.25,{}
1640484421718,2021-12-25 23:07:01,28.0,{},19.25,{},28.25,{}
1640484238040,2021-12-25 23:03:58,27.75,{},19.5,{},28.25,{}
1640484054022,2021-12-25 23:00:54,27.75,{},19.5,{},28.25,{}
1640483869660,2021-12-25 22:57:49,27.75,{},19.5,{},28.25,{}
1640483686125,2021-12-25 22:54:46,28.0,{},19.5,{},28.25,{}
1640483500314,2021-12-25 22:51:40,27.75,{},19.5,{},28.25,{}
1640483316681,2021-12-25 22:48:36,27.75,{},19.5,{},28.25,{}
1640483133349,2021-12-25 22:45:33,28.0,{},19.75,{},28.25,{}
1640482949886,2021-12-25 22:42:29,27.75,{},19.75,{},28.25,{}
1640482766381,2021-12-25 22:39:26,28.0,{},19.5,{},28.25,{}
1640482582795,2021-12-25 22:36:22,28.0,{},19.5,{},28.25,{}
1640482399267,2021-12-25 22:33:19,28.0,{},19.75,{},28.25,{}
1640482215654,2021-12-25 22:30:15,28.0,{},19.75,{},28.25,{}
1640482029680,2021-12-25 22:27:09,28.0,{},20.0,{},28.25,{}
1640481845772,2021-12-25 22:24:05,28.0,{},20.0,{},28.25,{}
1640481662034,2021-12-25 22:21:02,28.0,{},20.25,{},28.25,{}
1640481450877,2021-12-25 22:17:30,28.0,{},20.5,{},28.25,{}
1640481267229,2021-12-25 22:14:27,28.0,{},20.25,{},28.25,{}
1640481083458,2021-12-25 22:11:23,28.0,{},20.25,{},28.25,{}
1640480899827,2021-12-25 22:08:19,28.0,{},20.75,{},28.25,{}
1640480713604,2021-12-25 22:05:13,28.0,{},20.5,{},28.25,{}
1640480530099,2021-12-25 22:02:10,28.0,{},20.0,{},28.25,{}
1640480346255,2021-12-25 21:59:06,28.0,{},20.0,{},28.25,{}
1640480162130,2021-12-25 21:56:02,28.0,{},20.0,{},28.25,{}
1640479975636,2021-12-25 21:52:55,28.0,{},20.0,{},28.25,{}
1640479792038,2021-12-25 21:49:52,28.0,{},20.25,{},28.25,{}
1640479607947,2021-12-25 21:46:47,28.0,{},20.25,{},28.25,{}
1640479421888,2021-12-25 21:43:41,28.0,{},20.25,{},28.25,{}
1640479237541,2021-12-25 21:40:37,28.0,{},20.5,{},28.5,{}
1640479053339,2021-12-25 21:37:33,28.0,{},20.75,{},28.25,{}
1640478869490,2021-12-25 21:34:29,28.0,{},20.5,{},28.5,{}
1640478685790,2021-12-25 21:31:25,28.0,{},20.5,{},28.25,{}
1640478502078,2021-12-25 21:28:22,28.0,{},20.5,{},28.5,{}
1640478318560,2021-12-25 21:25:18,28.0,{},20.75,{},28.5,{}
1640478130540,2021-12-25 21:22:10,28.0,{},20.75,{},28.5,{}
1640477946604,2021-12-25 21:19:06,28.0,{},21.0,{},28.5,{}
1640477762619,2021-12-25 21:16:02,28.0,{},21.0,{},28.5,{}
1640477577858,2021-12-25 21:12:57,28.0,{},21.0,{},28.5,{}
1640477380417,2021-12-25 21:09:40,28.0,{},21.0,{},28.5,{}
1640477196579,2021-12-25 21:06:36,28.0,{},21.25,{},28.5,{}
1640477012835,2021-12-25 21:03:32,28.0,{},21.25,{},28.5,{}
1640472008895,2021-12-25 19:40:08,28.25,{},23.25,{},28.5,{}
1640471825233,2021-12-25 19:37:05,28.25,{},23.0,{},28.5,{}
1640471633961,2021-12-25 19:33:53,28.25,{},22.75,{},28.5,{}
1640471450483,2021-12-25 19:30:50,28.25,{},23.0,{},28.5,{}
1640471264623,2021-12-25 19:27:44,28.25,{},23.25,{},28.5,{}
1640471080982,2021-12-25 19:24:40,28.25,{},23.25,{},28.5,{}
1640470897377,2021-12-25 19:21:37,28.25,{},23.25,{},28.5,{}
1640470713606,2021-12-25 19:18:33,28.25,{},23.25,{},28.5,{}
1640470529808,2021-12-25 19:15:29,28.25,{},23.25,{},28.5,{}
1640470345356,2021-12-25 19:12:25,28.25,{},23.5,{},28.5,{}
1640470161783,2021-12-25 19:09:21,28.25,{},23.5,{},28.5,{}
1640469975678,2021-12-25 19:06:15,28.25,{},23.75,{},28.5,{}
1640469792038,2021-12-25 19:03:12,28.25,{},23.75,{},28.5,{}
1640469608473,2021-12-25 19:00:08,28.25,{},23.75,{},28.5,{}
1640469424793,2021-12-25 18:57:04,28.25,{},23.75,{},28.5,{}
1640469241127,2021-12-25 18:54:01,28.25,{},23.75,{},28.5,{}
1640469057603,2021-12-25 18:50:57,28.25,{},23.75,{},28.5,{}
1640468871504,2021-12-25 18:47:51,28.25,{},23.75,{},28.5,{}
1640468688021,2021-12-25 18:44:48,28.25,{},24.0,{},28.5,{}
1640468504528,2021-12-25 18:41:44,28.25,{},24.0,{},28.5,{}
1640468320472,2021-12-25 18:38:40,28.25,{},24.25,{},28.5,{}
1640468137049,2021-12-25 18:35:37,28.25,{},24.5,{},28.5,{}
1640467953471,2021-12-25 18:32:33,28.25,{},24.5,{},28.75,{}
1640467766684,2021-12-25 18:29:26,28.25,{},24.5,{},28.75,{}
1640467583087,2021-12-25 18:26:23,28.25,{},24.5,{},28.75,{}
1640467399595,2021-12-25 18:23:19,28.25,{},24.75,{},28.75,{}
1640467215953,2021-12-25 18:20:15,28.25,{},24.75,{},28.75,{}
1640467032223,2021-12-25 18:17:12,28.25,{},24.75,{},28.75,{}
1640466848686,2021-12-25 18:14:08,28.25,{},25.0,{},28.75,{}
1640466662713,2021-12-25 18:11:02,28.25,{},25.0,{},28.75,{}
1640466479321,2021-12-25 18:07:59,28.25,{},25.0,{},28.75,{}
1640466294691,2021-12-25 18:04:54,28.25,{},25.0,{},28.75,{}
1640466111126,2021-12-25 18:01:51,28.25,{},25.25,{},28.75,{}
1640465927639,2021-12-25 17:58:47,28.25,{},25.25,{},28.75,{}
1640465744183,2021-12-25 17:55:44,28.25,{},25.25,{},28.75,{}
1640465560681,2021-12-25 17:52:40,28.5,{},25.5,{},28.75,{}
1640465374136,2021-12-25 17:49:34,28.25,{},25.5,{},28.75,{}
1640465190430,2021-12-25 17:46:30,28.25,{},25.5,{},28.75,{}
1640465006871,2021-12-25 17:43:26,28.5,{},25.75,{},28.75,{}
1640464823423,2021-12-25 17:40:23,28.5,{},25.75,{},28.75,{}
1640464639821,2021-12-25 17:37:19,28.5,{},25.75,{},28.75,{}
1640464456218,2021-12-25 17:34:16,28.5,{},26.0,{},28.75,{}
1640464272513,2021-12-25 17:31:12,28.5,{},26.0,{},28.75,{}
1640464085740,2021-12-25 17:28:05,28.5,{},26.0,{},28.75,{}
1640463902002,2021-12-25 17:25:02,28.5,{},26.25,{},28.75,{}
1640463718572,2021-12-25 17:21:58,28.5,{},26.5,{},28.75,{}
1640463534916,2021-12-25 17:18:54,28.5,{},26.5,{},28.75,{}
1640463351415,2021-12-25 17:15:51,28.5,{},26.75,{},28.75,{}
1640463167848,2021-12-25 17:12:47,28.5,{},26.75,{},28.75,{}
1640462729172,2021-12-25 17:05:29,28.5,{},27.25,{},28.75,{}
1640462545462,2021-12-25 17:02:25,28.5,{},27.25,{},29.0,{}
1640462360921,2021-12-25 16:59:20,28.5,{},27.25,{},28.75,{}
1640462176610,2021-12-25 16:56:16,28.5,{},27.5,{},28.75,{}
1640461992955,2021-12-25 16:53:12,28.5,{},27.5,{},29.0,{}
1640461806975,2021-12-25 16:50:06,28.5,{},27.75,{},29.0,{}
1640461623299,2021-12-25 16:47:03,28.5,{},28.0,{},29.0,{}
1640461439645,2021-12-25 16:43:59,28.5,{},28.0,{},29.0,{}
1640461256192,2021-12-25 16:40:56,28.5,{},27.75,{},29.0,{}
1640461072573,2021-12-25 16:37:52,28.5,{},28.0,{},29.0,{}
1640460888882,2021-12-25 16:34:48,28.5,{},28.0,{},28.75,{}
1640460702821,2021-12-25 16:31:42,28.5,{},28.0,{},28.75,{}
1640460519383,2021-12-25 16:28:39,28.5,{},28.0,{},28.75,{}
1640460335535,2021-12-25 16:25:35,28.5,{},28.25,{},28.75,{}
1640460151906,2021-12-25 16:22:31,28.5,{},28.25,{},28.75,{}
1640459968297,2021-12-25 16:19:28,28.5,{},28.0,{},28.75,{}
1640459784564,2021-12-25 16:16:24,28.5,{},28.0,{},28.75,{}
1640459597636,2021-12-25 16:13:17,28.5,{},28.25,{},28.75,{}
1640459413974,2021-12-25 16:10:13,28.25,{},28.25,{},28.75,{}
1640459229567,2021-12-25 16:07:09,28.25,{},28.25,{},28.5,{}
1640459044415,2021-12-25 16:04:04,28.25,{},28.25,{},28.5,{}
1640458860600,2021-12-25 16:01:00,28.25,{},28.5,{},28.5,{}
1640458676792,2021-12-25 15:57:56,28.25,{},28.5,{},28.5,{}
1640458491101,2021-12-25 15:54:51,28.25,{},28.5,{},28.5,{}
1640458307453,2021-12-25 15:51:47,28.25,{},28.5,{},28.5,{}
1640458123976,2021-12-25 15:48:43,28.25,{},28.5,{},28.5,{}
1640457940267,2021-12-25 15:45:40,28.25,{},28.75,{},28.5,{}
1640457756433,2021-12-25 15:42:36,28.25,{},28.75,{},28.5,{}
1640457572954,2021-12-25 15:39:32,28.25,{},28.75,{},28.5,{}
1640457386800,2021-12-25 15:36:26,28.25,{},28.75,{},28.5,{}
1640457203273,2021-12-25 15:33:23,28.25,{},29.0,{},28.5,{}
1640457019750,2021-12-25 15:30:19,28.25,{},29.0,{},28.5,{}
1640456836381,2021-12-25 15:27:16,28.25,{},29.25,{},28.5,{}
1640456652706,2021-12-25 15:24:12,28.25,{},29.25,{},28.5,{}
1640456469188,2021-12-25 15:21:09,28.25,{},29.25,{},28.5,{}
1640456282448,2021-12-25 15:18:02,28.25,{},29.25,{},28.5,{}
1640456098977,2021-12-25 15:14:58,28.25,{},29.25,{},28.5,{}
1640455915208,2021-12-25 15:11:55,28.25,{},29.25,{},28.5,{}
1640455731631,2021-12-25 15:08:51,28.25,{},29.25,{},28.5,{}
1640455548080,2021-12-25 15:05:48,28.25,{},29.25,{},28.5,{}
1640455364643,2021-12-25 15:02:44,28.25,{},29.5,{},28.5,{}
1640455181110,2021-12-25 14:59:41,28.25,{},29.75,{},28.5,{}
1640454995248,2021-12-25 14:56:35,28.25,{},29.5,{},28.5,{}
1640454811634,2021-12-25 14:53:31,28.25,{},29.25,{},28.5,{}
1640454627651,2021-12-25 14:50:27,28.25,{},29.25,{},28.5,{}
1640454444160,2021-12-25 14:47:24,28.25,{},29.25,{},28.5,{}
1640454260527,2021-12-25 14:44:20,28.25,{},29.25,{},28.5,{}
1640454076968,2021-12-25 14:41:16,28.25,{},29.5,{},28.5,{}
1640453893025,2021-12-25 14:38:13,28.25,{},29.75,{},28.5,{}
1640453706602,2021-12-25 14:35:06,28.25,{},29.5,{},28.5,{}
1640453522488,2021-12-25 14:32:02,28.25,{},29.5,{},28.5,{}
1640453338685,2021-12-25 14:28:58,28.25,{},29.5,{},28.5,{}
1640453154840,2021-12-25 14:25:54,28.25,{},29.5,{},28.5,{}
1640452971374,2021-12-25 14:22:51,28.25,{},29.25,{},28.5,{}
1640452787585,2021-12-25 14:19:47,28.25,{},29.0,{},28.5,{}
1640452603993,2021-12-25 14:16:43,28.25,{},29.0,{},28.5,{}
1640452415522,2021-12-25 14:13:35,28.25,{},29.0,{},28.5,{}
1640452231822,2021-12-25 14:10:31,28.25,{},28.75,{},28.5,{}
1640452048165,2021-12-25 14:07:28,28.25,{},28.5,{},28.5,{}
1640451864179,2021-12-25 14:04:24,28.25,{},28.5,{},28.5,{}
1640451680490,2021-12-25 14:01:20,28.0,{},28.25,{},28.5,{}
1640451495702,2021-12-25 13:58:15,28.0,{},28.5,{},28.5,{}
1640451311858,2021-12-25 13:55:11,28.0,{},28.5,{},28.5,{}
1640451126189,2021-12-25 13:52:06,28.0,{},28.5,{},28.5,{}
1640450942628,2021-12-25 13:49:02,28.0,{},28.75,{},28.5,{}
1640450758423,2021-12-25 13:45:58,28.0,{},28.75,{},28.5,{}
1640450573700,2021-12-25 13:42:53,28.25,{},28.75,{},28.5,{}
1640450390105,2021-12-25 13:39:50,28.0,{},29.0,{},28.5,{}
1640450206277,2021-12-25 13:36:46,28.25,{},29.0,{},28.5,{}
1640450022643,2021-12-25 13:33:42,28.0,{},28.75,{},28.5,{}
1640449836851,2021-12-25 13:30:36,28.0,{},28.5,{},28.5,{}
1640449653077,2021-12-25 13:27:33,28.0,{},28.25,{},28.5,{}
1640449469504,2021-12-25 13:24:29,28.0,{},28.5,{},28.5,{}
1640449286155,2021-12-25 13:21:26,28.0,{},28.25,{},28.5,{}
